FREQ;Frequency;REF_AREA;Territory;DATA_TYPE_AGGR;Aggregate;VALUATION;Valuation (DESC);ADJUSTMENT;Adjustment (DESC);EDITION;Edition (DESC);TIME_PERIOD;Observation;OBS_STATUS;Observation status;NOTE_REF_AREA;Territory (NOTE_REF_AREA);NOTE_DATA_TYPE_AGGR;Aggregate (NOTE_DATA_TYPE_AGGR);NOTE_VALUATION;Valuation (NOTE_VALUATION);NOTE_ADJUSTMENT;Adjustment (NOTE_ADJUSTMENT);NOTE_EDITION;Edition (NOTE_EDITION);BASE_PER;Base year;UNIT_MEAS;Measure unit;UNIT_MULT;Multiplication unit
Q;Quarterly;IT;Italy;OTR_C_W0;Total government revenue;V;Current prices;N;Raw data;2025M6;jun-25;1999-Q1;105233;;;;;;;;;CORREZ__N_N1;Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.;;;;;EURO;Euro;6;Millions
Q;Quarterly;IT;Italy;OTR_C_W0;Total government revenue;V;Current prices;N;Raw data;2025M6;jun-25;1999-Q2;133497;;;;;;;;;CORREZ__N_N1;Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.;;;;;EURO;Euro;6;Millions
Q;Quarterly;IT;Italy;OTR_C_W0;Total government revenue;V;Current prices;N;Raw data;2025M6;jun-25;1999-Q3;123400;;;;;;;;;CORREZ__N_N1;Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.;;;;;EURO;Euro;6;Millions
Q;Quarterly;IT;Italy;OTR_C_W0;Total government revenue;V;Current prices;N;Raw data;2025M6;jun-25;1999-Q4;171323;;;;;;;;;CORREZ__N_N1;Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.;;;;;EURO;Euro;6;Millions
Q;Quarterly;IT;Italy;OTR_C_W0;Total government revenue;V;Current prices;N;Raw data;2025M6;jun-25;2000-Q1;113813;;;;;;;;;CORREZ__N_N1;Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.;;;;;EURO;Euro;6;Millions
Q;Quarterly;IT;Italy;OTR_C_W0;Total government revenue;V;Current prices;N;Raw data;2025M6;jun-25;2000-Q2;135165;;;;;;;;;CORREZ__N_N1;Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.;;;;;EURO;Euro;6;Millions
Q;Quarterly;IT;Italy;OTR_C_W0;Total government revenue;V;Current prices;N;Raw data;2025M6;jun-25;2000-Q3;126667;;;;;;;;;CORREZ__N_N1;Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.;;;;;EURO;Euro;6;Millions
Q;Quarterly;IT;Italy;OTR_C_W0;Total government revenue;V;Current prices;N;Raw data;2025M6;jun-25;2000-Q4;171400;;;;;;;;;CORREZ__N_N1;Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.;;;;;EURO;Euro;6;Millions
Q;Quarterly;IT;Italy;OTR_C_W0;Total government revenue;V;Current prices;N;Raw data;2025M6;jun-25;2001-Q1;108730;;;;;;;;;CORREZ__N_N1;Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.;;;;;EURO;Euro;6;Millions
Q;Quarterly;IT;Italy;OTR_C_W0;Total government revenue;V;Current prices;N;Raw data;2025M6;jun-25;2001-Q2;144748;;;;;;;;;CORREZ__N_N1;Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.;;;;;EURO;Euro;6;Millions
