FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1995-Q1,228187.2,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1995-Q2,245046.4,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1995-Q3,243764.3,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1995-Q4,273523,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1996-Q1,244759.6,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1996-Q2,260767.4,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1996-Q3,258310.9,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1996-Q4,283907.5,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1997-Q1,251470,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1997-Q2,272566.3,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1997-Q3,270430.3,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1997-Q4,300625.1,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1998-Q1,265202.3,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,V,Current prices,N,Raw data,2024M10,Oct-2024,1998-Q2,285194.3,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
