FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
Q,Quarterly,IT,Italy,P3_D_W0_S1M,Final consumption expenditure of households and non-profit institutions serving households (npish),V,Current prices,N,Raw data,2025M10,Oct-2025,1995-Q1,139927.4,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P3_D_W0_S1M,Final consumption expenditure of households and non-profit institutions serving households (npish),V,Current prices,N,Raw data,2025M10,Oct-2025,1995-Q2,142758.5,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P3_D_W0_S1M,Final consumption expenditure of households and non-profit institutions serving households (npish),V,Current prices,N,Raw data,2025M10,Oct-2025,1995-Q3,147072.2,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P3_D_W0_S1M,Final consumption expenditure of households and non-profit institutions serving households (npish),V,Current prices,N,Raw data,2025M10,Oct-2025,1995-Q4,147549.6,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P3_D_W0_S1M,Final consumption expenditure of households and non-profit institutions serving households (npish),V,Current prices,N,Raw data,2025M10,Oct-2025,1996-Q1,149465.6,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P3_D_W0_S1M,Final consumption expenditure of households and non-profit institutions serving households (npish),V,Current prices,N,Raw data,2025M10,Oct-2025,1996-Q2,151144.7,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P3_D_W0_S1M,Final consumption expenditure of households and non-profit institutions serving households (npish),V,Current prices,N,Raw data,2025M10,Oct-2025,1996-Q3,153266.4,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P3_D_W0_S1M,Final consumption expenditure of households and non-profit institutions serving households (npish),V,Current prices,N,Raw data,2025M10,Oct-2025,1996-Q4,153494.2,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P3_D_W0_S1M,Final consumption expenditure of households and non-profit institutions serving households (npish),V,Current prices,N,Raw data,2025M10,Oct-2025,1997-Q1,154980.6,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P3_D_W0_S1M,Final consumption expenditure of households and non-profit institutions serving households (npish),V,Current prices,N,Raw data,2025M10,Oct-2025,1997-Q2,159562.7,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
