FREQ;Frequency;REF_AREA;Territory;DATA_TYPE;Indicator;ADJUSTMENT;Adjustment (DESC);ECON_ACTIVITY_NACE_2007;Economic activity (NACE Rev. 2);TIME_PERIOD;Observation;OBS_STATUS;Observation status;NOTE_REF_AREA;Territory (NOTE_REF_AREA);NOTE_DATA_TYPE;Indicator (NOTE_DATA_TYPE);NOTE_ADJUSTMENT;Adjustment (NOTE_ADJUSTMENT);NOTE_ECON_ACTIVITY_NACE_2007;Economic activity (NACE Rev. 2) (NOTE_ECON_ACTIVITY_NACE_2007);NOTE_TIME_PERIOD;Time (NOTE_TIME_PERIOD);BASE_PER;Base year;UNIT_MEAS;Measure unit;UNIT_MULT;Multiplication unit
Q;Quarterly;IT;Italy;TOT_EMPL_2;Number of total payroll jobs index - quarterly data - base 2021=100;N;Raw data;0037;Industry and services (b to s, except o);2010-Q1;88.5;;;;;TIPO_DATO7__TOT_EMPL_2_N1;Total Number of payroll jobs index - base 2021=100:  It is the objective of the index to measure the dynamic of the number of (filled) payroll jobs. A job is defined as a direct contract between an employee and a production unit (enterprise or private institution) in return for compensation, irrespective of the number of hours worked (full or part-time) and the duration of the contract (fixed or indefinite/permanent). Workers temporarily not at work during the reference period but with a formal attachment to their job are also included. A worker from a temporary employment agency is considered to be an employee of the temporary employment agency and not of the unit (customer) in which they work.;;;;;;;;;;;;
Q;Quarterly;IT;Italy;TOT_EMPL_2;Number of total payroll jobs index - quarterly data - base 2021=100;N;Raw data;0037;Industry and services (b to s, except o);2010-Q2;90.9;;;;;TIPO_DATO7__TOT_EMPL_2_N1;Total Number of payroll jobs index - base 2021=100:  It is the objective of the index to measure the dynamic of the number of (filled) payroll jobs. A job is defined as a direct contract between an employee and a production unit (enterprise or private institution) in return for compensation, irrespective of the number of hours worked (full or part-time) and the duration of the contract (fixed or indefinite/permanent). Workers temporarily not at work during the reference period but with a formal attachment to their job are also included. A worker from a temporary employment agency is considered to be an employee of the temporary employment agency and not of the unit (customer) in which they work.;;;;;;;;;;;;
Q;Quarterly;IT;Italy;TOT_EMPL_2;Number of total payroll jobs index - quarterly data - base 2021=100;N;Raw data;0037;Industry and services (b to s, except o);2010-Q3;91.6;;;;;TIPO_DATO7__TOT_EMPL_2_N1;Total Number of payroll jobs index - base 2021=100:  It is the objective of the index to measure the dynamic of the number of (filled) payroll jobs. A job is defined as a direct contract between an employee and a production unit (enterprise or private institution) in return for compensation, irrespective of the number of hours worked (full or part-time) and the duration of the contract (fixed or indefinite/permanent). Workers temporarily not at work during the reference period but with a formal attachment to their job are also included. A worker from a temporary employment agency is considered to be an employee of the temporary employment agency and not of the unit (customer) in which they work.;;;;;;;;;;;;
Q;Quarterly;IT;Italy;TOT_EMPL_2;Number of total payroll jobs index - quarterly data - base 2021=100;N;Raw data;0037;Industry and services (b to s, except o);2010-Q4;89.7;;;;;TIPO_DATO7__TOT_EMPL_2_N1;Total Number of payroll jobs index - base 2021=100:  It is the objective of the index to measure the dynamic of the number of (filled) payroll jobs. A job is defined as a direct contract between an employee and a production unit (enterprise or private institution) in return for compensation, irrespective of the number of hours worked (full or part-time) and the duration of the contract (fixed or indefinite/permanent). Workers temporarily not at work during the reference period but with a formal attachment to their job are also included. A worker from a temporary employment agency is considered to be an employee of the temporary employment agency and not of the unit (customer) in which they work.;;;;;;;;;;;;
Q;Quarterly;IT;Italy;TOT_EMPL_2;Number of total payroll jobs index - quarterly data - base 2021=100;N;Raw data;0037;Industry and services (b to s, except o);2011-Q1;88.6;;;;;TIPO_DATO7__TOT_EMPL_2_N1;Total Number of payroll jobs index - base 2021=100:  It is the objective of the index to measure the dynamic of the number of (filled) payroll jobs. A job is defined as a direct contract between an employee and a production unit (enterprise or private institution) in return for compensation, irrespective of the number of hours worked (full or part-time) and the duration of the contract (fixed or indefinite/permanent). Workers temporarily not at work during the reference period but with a formal attachment to their job are also included. A worker from a temporary employment agency is considered to be an employee of the temporary employment agency and not of the unit (customer) in which they work.;;;;;;;;;;;;
Q;Quarterly;IT;Italy;TOT_EMPL_2;Number of total payroll jobs index - quarterly data - base 2021=100;N;Raw data;0037;Industry and services (b to s, except o);2011-Q2;91;;;;;TIPO_DATO7__TOT_EMPL_2_N1;Total Number of payroll jobs index - base 2021=100:  It is the objective of the index to measure the dynamic of the number of (filled) payroll jobs. A job is defined as a direct contract between an employee and a production unit (enterprise or private institution) in return for compensation, irrespective of the number of hours worked (full or part-time) and the duration of the contract (fixed or indefinite/permanent). Workers temporarily not at work during the reference period but with a formal attachment to their job are also included. A worker from a temporary employment agency is considered to be an employee of the temporary employment agency and not of the unit (customer) in which they work.;;;;;;;;;;;;
Q;Quarterly;IT;Italy;TOT_EMPL_2;Number of total payroll jobs index - quarterly data - base 2021=100;N;Raw data;0037;Industry and services (b to s, except o);2011-Q3;92;;;;;TIPO_DATO7__TOT_EMPL_2_N1;Total Number of payroll jobs index - base 2021=100:  It is the objective of the index to measure the dynamic of the number of (filled) payroll jobs. A job is defined as a direct contract between an employee and a production unit (enterprise or private institution) in return for compensation, irrespective of the number of hours worked (full or part-time) and the duration of the contract (fixed or indefinite/permanent). Workers temporarily not at work during the reference period but with a formal attachment to their job are also included. A worker from a temporary employment agency is considered to be an employee of the temporary employment agency and not of the unit (customer) in which they work.;;;;;;;;;;;;
Q;Quarterly;IT;Italy;TOT_EMPL_2;Number of total payroll jobs index - quarterly data - base 2021=100;N;Raw data;0037;Industry and services (b to s, except o);2011-Q4;89.7;;;;;TIPO_DATO7__TOT_EMPL_2_N1;Total Number of payroll jobs index - base 2021=100:  It is the objective of the index to measure the dynamic of the number of (filled) payroll jobs. A job is defined as a direct contract between an employee and a production unit (enterprise or private institution) in return for compensation, irrespective of the number of hours worked (full or part-time) and the duration of the contract (fixed or indefinite/permanent). Workers temporarily not at work during the reference period but with a formal attachment to their job are also included. A worker from a temporary employment agency is considered to be an employee of the temporary employment agency and not of the unit (customer) in which they work.;;;;;;;;;;;;
Q;Quarterly;IT;Italy;TOT_EMPL_2;Number of total payroll jobs index - quarterly data - base 2021=100;N;Raw data;0037;Industry and services (b to s, except o);2012-Q1;88;;;;;TIPO_DATO7__TOT_EMPL_2_N1;Total Number of payroll jobs index - base 2021=100:  It is the objective of the index to measure the dynamic of the number of (filled) payroll jobs. A job is defined as a direct contract between an employee and a production unit (enterprise or private institution) in return for compensation, irrespective of the number of hours worked (full or part-time) and the duration of the contract (fixed or indefinite/permanent). Workers temporarily not at work during the reference period but with a formal attachment to their job are also included. A worker from a temporary employment agency is considered to be an employee of the temporary employment agency and not of the unit (customer) in which they work.;;;;;;;;;;;;
Q;Quarterly;IT;Italy;TOT_EMPL_2;Number of total payroll jobs index - quarterly data - base 2021=100;N;Raw data;0037;Industry and services (b to s, except o);2012-Q2;90.3;;;;;TIPO_DATO7__TOT_EMPL_2_N1;Total Number of payroll jobs index - base 2021=100:  It is the objective of the index to measure the dynamic of the number of (filled) payroll jobs. A job is defined as a direct contract between an employee and a production unit (enterprise or private institution) in return for compensation, irrespective of the number of hours worked (full or part-time) and the duration of the contract (fixed or indefinite/permanent). Workers temporarily not at work during the reference period but with a formal attachment to their job are also included. A worker from a temporary employment agency is considered to be an employee of the temporary employment agency and not of the unit (customer) in which they work.;;;;;;;;;;;;
