FREQ;Frequency;REF_AREA;Territory;DATA_TYPE;Indicator;SEX;Sex (DESC);AGE;Age (DESC);TIME_PERIOD;Observation;OBS_STATUS;Observation status
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2004-Q1;27.383739;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2004-Q2;27.254097;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2004-Q3;28.227831;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2004-Q4;26.176563;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2005-Q1;25.398545;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2005-Q2;25.971914;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2005-Q3;25.323515;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2005-Q4;25.161596;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2006-Q1;25.418331;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2006-Q2;25.622751;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2006-Q3;25.641365;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2006-Q4;24.479146;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2007-Q1;23.849429;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2007-Q2;25.117612;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2007-Q3;25.571293;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2007-Q4;23.587731;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2008-Q1;24.11322;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2008-Q2;25.008254;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2008-Q3;24.99982;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2008-Q4;22.74826;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2009-Q1;21.563277;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2009-Q2;21.454462;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2009-Q3;22.055902;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2009-Q4;20.725651;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2010-Q1;20.417303;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2010-Q2;20.144553;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2010-Q3;20.223038;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2010-Q4;19.987485;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2011-Q1;19.345119;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2011-Q2;18.715147;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2011-Q3;19.42587;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2011-Q4;19.251101;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2012-Q1;18.527865;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2012-Q2;18.612953;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2012-Q3;19.183272;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2012-Q4;17.452943;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2013-Q1;15.987177;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2013-Q2;16.748796;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2013-Q3;16.851873;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2013-Q4;15.495946;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2014-Q1;14.383711;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2014-Q2;15.639345;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2014-Q3;16.681392;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2014-Q4;15.472347;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2015-Q1;14.166814;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2015-Q2;15.045255;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2015-Q3;16.982109;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2015-Q4;16.219594;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2016-Q1;15.322854;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2016-Q2;17.130673;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2016-Q3;17.456217;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2016-Q4;16.208364;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2017-Q1;16.206331;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2017-Q2;16.769857;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2017-Q3;18.078725;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2017-Q4;17.170127;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2018-Q1;17.214361;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2018-Q2;17.649566;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2018-Q3;18.076142;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2018-Q4;17.427957;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2019-Q1;17.428082;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2019-Q2;18.496906;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2019-Q3;19.259892;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2019-Q4;18.269481;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2020-Q1;17.277156;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2020-Q2;15.645727;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2020-Q3;17.352903;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2020-Q4;16.213573;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2021-Q1;15.381744;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2021-Q2;17.372624;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2021-Q3;18.800646;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2021-Q4;18.549986;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2022-Q1;18.439318;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2022-Q2;20.274595;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2022-Q3;20.613712;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2022-Q4;19.94182;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2023-Q1;19.968522;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2023-Q2;20.570248;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2023-Q3;20.756981;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2023-Q4;20.273706;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2024-Q1;19.580951;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2024-Q2;19.675226;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2024-Q3;20.480628;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2024-Q4;19.120012;;
Q;Quarterly;IT;Italy;EMP_R;Employment rate;9;Total;Y15-24;15-24 years;2025-Q1;18.720503;;
