FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
Q,Quarterly,IT,Italy,POP,Average population (for national accounts),N,Raw data,2025M10,Oct-2025,1995-Q1,56845.1,,,,,,,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,,
Q,Quarterly,IT,Italy,POP,Average population (for national accounts),N,Raw data,2025M10,Oct-2025,1995-Q2,56844.9,,,,,,,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,,
Q,Quarterly,IT,Italy,POP,Average population (for national accounts),N,Raw data,2025M10,Oct-2025,1995-Q3,56844.2,,,,,,,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,,
Q,Quarterly,IT,Italy,POP,Average population (for national accounts),N,Raw data,2025M10,Oct-2025,1995-Q4,56843,,,,,,,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,,
Q,Quarterly,IT,Italy,POP,Average population (for national accounts),N,Raw data,2025M10,Oct-2025,1996-Q1,56849.4,,,,,,,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,,
Q,Quarterly,IT,Italy,POP,Average population (for national accounts),N,Raw data,2025M10,Oct-2025,1996-Q2,56856.4,,,,,,,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,,
Q,Quarterly,IT,Italy,POP,Average population (for national accounts),N,Raw data,2025M10,Oct-2025,1996-Q3,56863.7,,,,,,,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,,
Q,Quarterly,IT,Italy,POP,Average population (for national accounts),N,Raw data,2025M10,Oct-2025,1996-Q4,56871.7,,,,,,,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,,
Q,Quarterly,IT,Italy,POP,Average population (for national accounts),N,Raw data,2025M10,Oct-2025,1997-Q1,56879,,,,,,,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,,
Q,Quarterly,IT,Italy,POP,Average population (for national accounts),N,Raw data,2025M10,Oct-2025,1997-Q2,56886.5,,,,,,,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,,
