freq,expend,unit,geo\TIME_PERIOD	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 	2024-Q3 	2024-Q4 	2025-Q1 	2025-Q2 
Q,DW_ACQ,I10_Q,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.84 	99.44 	100.76 	100.96 	101.55 	103.37 	104.53 	104.70 	106.33 	107.04 	108.89 	108.53 	109.98 	111.95 	112.62 	112.61 	114.64 	114.81 	116.06 	116.37 	117.70 	118.22 	119.82 	119.31 	121.07 	122.10 	123.49 	123.11 	124.33 	126.51 	127.10 	127.58 	129.71 	131.87 	132.73 	133.83 	135.10 	137.88 	139.09 	140.19 	142.29 	144.32 	146.73 	146.89 	150.43 	156.12 	160.18 	164.48 	171.12 	177.71 	183.80 	183.20 	185.44 	187.04 	186.78 	186.69 	187.88 	187.93 	187.88 	188.29 	189.25 	191.09 p
Q,DW_ACQ,I10_Q,BE	87.43 	87.86 	88.49 	89.40 	91.00 	93.07 	94.27 	94.83 	96.86 	98.03 	98.55 	98.45 	99.41 	100.71 	100.79 	101.77 	100.46 	99.27 	100.26 	98.81 	99.26 	99.69 	100.17 	100.88 	102.69 	103.07 	104.53 	104.97 	105.75 	106.22 	106.32 	105.95 	106.55 	107.42 	108.30 	108.61 	107.06 	106.93 	108.09 	108.40 	108.43 	109.53 	111.62 	112.24 	111.63 	112.54 	113.83 	114.09 	113.75 	113.65 	116.28 	116.38 	116.05 	117.29 	119.65 	118.56 	119.48 	120.13 	123.54 	122.22 	122.75 	123.12 	124.30 	126.97 	128.05 	130.33 	133.86 	135.77 	138.82 	142.51 	145.31 	147.68 	148.55 	148.73 	150.46 	152.07 	152.18 	151.63 	152.86 	154.81 	152.14 	151.97 p
Q,DW_ACQ,I10_Q,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.44 	99.84 	100.20 	100.52 	100.50 	97.85 	98.02 	97.37 	98.26 	99.59 	100.58 	96.95 	95.70 	96.69 	94.44 	95.45 	97.29 	97.68 	98.27 	99.82 	99.00 	101.08 	101.51 	104.23 	104.47 	106.09 	110.08 	111.76 	114.51 	113.85 	116.17 	117.06 	117.42 	121.78 	123.92 	123.90 	130.91 	130.53 	131.33 	134.54 	133.90 	132.38 	136.15 	138.61 	143.02 	141.82 	148.01 	150.42 	155.99 b	160.58 	166.47 	165.64 	164.47 	175.40 	183.41 	183.04 	195.70 	202.75 	214.01 	219.01 	222.17 	233.60 p
Q,DW_ACQ,I10_Q,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101.58 	100.50 	99.44 	98.48 	98.93 	100.02 	97.69 	94.98 	94.70 	94.57 	97.53 	95.55 	94.26 	93.59 	91.76 	89.43 	87.88 	92.65 	90.90 	90.67 	87.29 	89.97 	90.73 	88.10 	85.91 	88.08 	90.55 	92.14 	88.43 	91.36 	91.77 	94.60 	92.39 	93.98 	92.85 	96.89 	97.99 	102.74 	95.77 	96.67 	99.01 	99.37 	94.67 	99.56 	94.92 	96.37 	98.61 	96.07 	97.54 	100.03 	103.32 	101.88 	105.72 	105.29 	107.14 	108.36 	107.09 	109.74 	110.74 	112.29 	112.53 	112.20 
Q,DW_ACQ,I10_Q,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	100.10 	99.90 	100.00 	100.30 	100.70 	100.60 	100.10 	101.90 	102.10 	101.60 	101.50 	103.60 	103.50 	103.40 	103.90 	105.10 	105.20 	105.60 	105.80 	106.00 	107.00 	107.20 	107.30 	107.60 	108.60 	109.80 	111.70 	113.80 	115.80 	117.00 	117.80 	119.70 	122.10 	124.70 	126.00 	128.00 	130.10 	131.40 	132.10 	133.50 	134.30 	134.20 	134.20 	136.50 	141.00 	147.30 	153.80 	162.30 	168.70 	171.90 	171.60 	173.20 	173.90 	173.60 	173.00 	172.30 	174.10 	175.30 	177.60 	180.60 	183.80 
Q,DW_ACQ,I10_Q,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.20 	99.90 	100.40 	100.60 	101.90 	102.80 	103.50 	103.90 	105.10 	105.70 	106.40 	106.80 	107.60 	108.20 	108.70 	108.90 	110.00 	110.40 	111.00 	111.20 	112.40 	112.90 	113.50 	114.00 	115.10 	116.20 	117.00 	117.60 	118.90 	120.00 	121.20 	122.10 	124.10 	125.40 	127.10 	127.90 	129.60 	131.00 	132.20 	133.50 	134.90 	135.90 	134.40 	135.80 	140.30 	145.30 	150.40 	154.00 	159.40 	168.20 	171.90 	174.30 	177.30 	178.10 	178.40 	178.30 	180.00 	181.40 	182.90 	183.50 	185.90 p	187.40 p
Q,DW_ACQ,I10_Q,DK	82.28 	83.81 	85.64 	87.30 	91.13 	94.01 	94.78 	95.68 	97.27 	100.05 	101.28 	101.05 	101.08 	101.17 	101.23 	99.26 	97.46 	98.52 	98.42 	98.49 	98.79 	98.89 	100.17 	102.15 	102.92 	105.35 	105.75 	104.81 	105.80 	106.76 	107.40 	108.11 	108.54 	110.18 	110.29 	110.47 	111.01 	112.14 	112.36 	113.21 	113.19 b	115.45 	115.36 	114.29 	116.52 	117.88 	117.73 	119.31 	118.95 	119.68 	120.11 	120.57 	121.07 	122.79 	121.40 	123.21 	122.57 	123.63 	123.21 	123.42 	124.27 	125.15 	125.64 	126.25 	127.50 	129.70 	132.37 	133.71 	136.12 	139.34 	140.97 	142.35 	142.02 	143.21 	143.20 	144.19 	144.23 	145.89 	146.55 	147.84 	150.63 	150.83 
Q,DW_ACQ,I10_Q,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.90 	100.11 	100.31 	100.67 	101.63 	102.40 	102.06 	100.89 	101.42 	102.25 	101.45 	101.11 	101.19 	101.46 	101.69 	101.92 	102.46 	102.40 	102.49 	103.06 	103.15 	103.56 	104.42 	104.77 	105.37 	106.17 	106.99 	107.72 	107.84 	109.34 	110.50 	111.03 	111.79 	113.26 	114.67 	115.13 	116.08 	117.09 	117.80 	118.67 	119.65 	120.44 	120.99 	121.77 	123.84 	126.35 	129.72 	131.54 	134.98 	139.68 	141.59 	142.67 	144.82 	145.77 	146.83 	147.26 	148.65 	150.52 	151.91 	152.92 	154.45 	156.14 
Q,DW_ACQ,I10_Q,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.90 	100.12 	100.31 	100.67 	101.63 	102.41 	102.08 	100.91 	101.44 	102.27 	101.48 	101.14 	101.22 	101.48 	101.72 	101.95 	102.49 	102.44 	102.53 	103.10 	103.19 	103.60 	104.46 	104.81 	105.41 	106.21 	107.03 	107.77 	107.88 	109.39 	110.55 	111.07 	111.83 	113.31 	114.72 	115.17 	116.12 	117.14 	117.84 	118.71 	119.70 	120.49 	121.03 	121.82 	123.89 	126.40 	129.78 	131.59 	135.03 	139.73 	141.65 	142.73 	144.89 	145.83 	146.89 	147.31 	148.70 	150.57 	151.96 	152.95 	154.47 	156.17 
Q,DW_ACQ,I10_Q,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.90 	100.11 	100.31 	100.67 	101.63 	102.41 	102.07 	100.92 	101.44 	102.27 	101.47 	101.13 	101.21 	101.47 	101.71 	101.94 	102.47 	102.43 	102.52 	103.09 	103.18 	103.59 	104.45 	104.79 	105.40 	106.19 	107.02 	107.75 	107.86 	109.36 	110.52 	111.05 	111.81 	113.28 	114.70 	115.15 	116.10 	117.12 	117.83 	118.70 	119.68 	120.47 	121.02 	121.80 	123.87 	126.39 	129.77 	131.58 	135.04 	139.73 	141.67 	142.75 	144.90 	145.86 	146.91 	147.34 	148.73 	150.61 	152.00 	153.00 	154.53 	156.23 
Q,DW_ACQ,I10_Q,EE	: 	: 	: 	: 	: 	: 	: 	: 	142.85 	153.30 	149.08 	151.00 	148.15 	132.18 	145.75 	124.69 	98.71 	96.83 	89.01 	79.88 	96.52 	99.02 	106.57 	97.90 	98.00 	103.74 	116.80 	118.40 	117.03 	124.67 	124.84 	118.76 	126.62 	122.71 	135.95 	142.88 	154.86 	145.08 	166.96 	166.10 	179.89 	174.74 	174.48 	173.25 	170.49 	177.57 	195.91 	195.43 	189.55 	185.15 	200.63 	201.97 	213.55 	211.98 	206.40 	212.10 	222.23 	222.00 	227.74 	232.71 	248.72 	242.29 	245.82 	253.12 	270.38 	270.67 	277.20 	295.72 	307.06 	333.09 	327.62 	341.07 	359.50 	366.72 	358.64 	376.83 	374.34 	387.65 	392.58 	383.41 	392.78 	404.57 
Q,DW_ACQ,I10_Q,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.23 	101.04 	100.03 	99.70 	97.94 	96.56 	93.17 	87.74 	83.50 	81.40 	78.99 	78.09 	76.29 	74.84 	76.34 	75.50 	75.52 	76.30 	77.59 	77.70 	78.48 	80.56 	81.07 	81.64 	83.25 	85.31 	85.49 	84.99 	87.21 	88.99 	90.24 	90.31 	91.79 	93.84 	95.55 	96.31 	98.86 	99.16 	100.63 	100.24 	102.72 	101.59 	104.51 	104.55 	104.42 	105.96 	108.43 	110.38 	113.67 	114.78 	116.19 	117.28 	119.74 	121.76 	125.43 	124.12 	128.81 	132.33 	135.68 	137.21 	142.66 	146.99 
Q,DW_ACQ,I10_Q,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.86 	100.01 	100.43 	100.70 	101.58 	102.36 	102.26 	101.36 	101.78 	102.59 	102.11 	101.81 	101.65 	101.88 	102.41 	102.70 	103.28 	103.52 	103.91 	104.31 	104.28 	104.79 	105.76 	106.18 	106.88 	107.77 	108.74 	109.47 	109.86 	111.28 	112.61 	113.17 	113.83 	115.26 	116.72 	117.36 	118.19 	119.13 	120.00 	120.76 	121.77 	122.57 	123.14 	123.85 	126.00 	128.70 	132.22 	134.58 	138.54 	143.41 	145.75 	147.19 	149.30 	150.58 	151.78 	152.66 	154.28 	156.24 	157.67 	158.68 	160.26 	161.95 
Q,DW_ACQ,I10_Q,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.93 	100.06 	100.32 	100.69 	101.65 	102.45 	102.21 	101.22 	101.75 	102.54 	101.88 	101.57 	101.63 	101.80 	102.00 	102.25 	102.78 	102.82 	102.96 	103.45 	103.55 	104.01 	104.81 	105.16 	105.84 	106.66 	107.49 	108.26 	108.49 	109.92 	111.13 	111.81 	112.69 	114.25 	115.68 	116.41 	117.45 	118.48 	119.26 	120.13 	121.13 	121.93 	122.49 	123.20 	125.34 	128.02 	131.52 	133.87 	137.81 	142.65 	144.99 	146.41 	148.52 	149.79 	150.99 	151.86 	153.47 	155.42 	156.84 	157.85 	159.42 	161.10 
Q,DW_ACQ,I10_Q,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.86 	100.01 	100.43 	100.70 	101.58 	102.36 	102.25 	101.36 	101.78 	102.58 	102.11 	101.79 	101.83 	102.06 	102.40 	102.69 	103.27 	103.51 	103.90 	104.30 	104.26 	104.78 	105.75 	106.16 	106.87 	107.76 	108.72 	109.46 	109.85 	111.26 	112.60 	113.16 	113.82 	115.25 	116.71 	117.35 	118.18 	119.12 	119.99 	120.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
