freq,int_rt,geo\TIME_PERIOD	1970-Q1 	1970-Q2 	1970-Q3 	1970-Q4 	1971-Q1 	1971-Q2 	1971-Q3 	1971-Q4 	1972-Q1 	1972-Q2 	1972-Q3 	1972-Q4 	1973-Q1 	1973-Q2 	1973-Q3 	1973-Q4 	1974-Q1 	1974-Q2 	1974-Q3 	1974-Q4 	1975-Q1 	1975-Q2 	1975-Q3 	1975-Q4 	1976-Q1 	1976-Q2 	1976-Q3 	1976-Q4 	1977-Q1 	1977-Q2 	1977-Q3 	1977-Q4 	1978-Q1 	1978-Q2 	1978-Q3 	1978-Q4 	1979-Q1 	1979-Q2 	1979-Q3 	1979-Q4 	1980-Q1 	1980-Q2 	1980-Q3 	1980-Q4 	1981-Q1 	1981-Q2 	1981-Q3 	1981-Q4 	1982-Q1 	1982-Q2 	1982-Q3 	1982-Q4 	1983-Q1 	1983-Q2 	1983-Q3 	1983-Q4 	1984-Q1 	1984-Q2 	1984-Q3 	1984-Q4 	1985-Q1 	1985-Q2 	1985-Q3 	1985-Q4 	1986-Q1 	1986-Q2 	1986-Q3 	1986-Q4 	1987-Q1 	1987-Q2 	1987-Q3 	1987-Q4 	1988-Q1 	1988-Q2 	1988-Q3 	1988-Q4 	1989-Q1 	1989-Q2 	1989-Q3 	1989-Q4 	1990-Q1 	1990-Q2 	1990-Q3 	1990-Q4 	1991-Q1 	1991-Q2 	1991-Q3 	1991-Q4 	1992-Q1 	1992-Q2 	1992-Q3 	1992-Q4 	1993-Q1 	1993-Q2 	1993-Q3 	1993-Q4 	1994-Q1 	1994-Q2 	1994-Q3 	1994-Q4 	1995-Q1 	1995-Q2 	1995-Q3 	1995-Q4 	1996-Q1 	1996-Q2 	1996-Q3 	1996-Q4 	1997-Q1 	1997-Q2 	1997-Q3 	1997-Q4 	1998-Q1 	1998-Q2 	1998-Q3 	1998-Q4 	1999-Q1 	1999-Q2 	1999-Q3 	1999-Q4 	2000-Q1 	2000-Q2 	2000-Q3 	2000-Q4 	2001-Q1 	2001-Q2 	2001-Q3 	2001-Q4 	2002-Q1 	2002-Q2 	2002-Q3 	2002-Q4 	2003-Q1 	2003-Q2 	2003-Q3 	2003-Q4 	2004-Q1 	2004-Q2 	2004-Q3 	2004-Q4 	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 	2024-Q3 	2024-Q4 	2025-Q1 	2025-Q2 	2025-Q3 
Q,IRT_DTD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75.66 	60.11 	39.59 	36.67 	44.34 	85.73 	133.83 	214.98 	179.14 	67.35 	2.17 	1.49 	1.90 	2.23 	2.67 	2.58 	2.50 	2.58 	2.77 	2.51 	1.61 	3.43 	3.28 	3.28 	1.90 	3.69 	4.49 	4.46 	1.11 	3.39 	3.39 	1.66 	1.02 	2.76 	1.90 	2.14 	1.43 	2.26 	2.02 	1.98 	1.92 	2.04 	2.04 	2.10 	2.34 	2.61 	2.91 	3.29 	3.58 	3.89 	4.14 	4.51 	4.81 	4.98 	5.29 	5.55 	3.65 	2.29 	1.58 	0.52 	0.20 	0.19 	0.17 	0.18 	0.19 	0.20 	0.19 	0.22 	0.16 	0.15 	0.05 	0.03 	0.01 	0.02 	0.02 	0.02 	0.04 	0.04 	0.04 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_DTD,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.45 	13.74 	9.36 	5.98 	7.48 	5.90 	7.83 	10.39 	10.21 	10.27 	10.96 	11.01 	10.75 	11.35 	12.06 	12.14 	12.46 	38.78 	14.01 	12.05 	13.77 	14.28 	14.25 	12.01 	8.37 	7.06 	6.29 	5.46 	5.25 	5.26 	5.27 	5.24 	5.12 	4.94 	4.96 	4.90 	4.35 	3.89 	3.22 	2.84 	2.57 	2.49 	2.09 	1.99 	1.99 	2.02 	2.25 	2.49 	2.31 	1.83 	1.75 	1.89 	1.99 	1.98 	2.02 	2.39 	2.48 	2.44 	2.89 	3.26 	3.54 	3.66 	3.63 	2.88 	1.94 	1.66 	1.47 	1.25 	1.03 	0.88 	0.81 	0.73 	0.71 	0.70 	0.71 	0.67 	0.71 	0.73 	0.57 	0.26 	0.19 	0.18 	0.18 	0.16 	0.15 	0.15 	0.15 	0.16 	0.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_DTD,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.50650 	3.46560 	3.44400 	3.67300 	3.70470 	4.04490 	4.17380 	4.50520 	3.57720 	2.95640 	2.84840 	3.05300 	3.41680 	4.11480 	4.72040 	5.21990 	5.19510 	5.12460 	4.76090 	3.72930 	3.54510 	3.51160 	3.51180 	3.37730 	2.96400 	2.56240 	2.13220 	2.13450 	2.16020 	2.17310 	2.14500 	2.15140 	2.13030 	2.15560 	2.14770 	2.17530 	2.42370 	2.76930 	3.05090 	3.52790 	3.75460 	4.05100 	4.21280 	4.21410 	4.20510 	4.23410 	4.46920 	4.91520 	2.86840 	1.67970 	1.25430 	1.00410 	0.82700 	0.64450 	0.49840 	0.66310 	0.69270 	0.95080 	1.13120 	0.77450 	0.29420 	0.18360 	-0.08410 	-0.07890 	-0.04440 	-0.01580 	-0.00840 	-0.02170 	-0.01340 	0.06640 	0.07470 	0.04340 	-0.28380 	-0.27130 	-0.18570 	-0.26150 	-0.19780 	-0.22760 	-0.26070 	-0.34670 	-0.42780 	-0.45770 	-0.50110 	-0.50960 	-0.50610 	-0.49700 	-0.51290 	-0.52340 	-0.56140 	-0.56060 	-0.55550 	-0.63370 	-0.56400 	-0.34820 	-0.37420 	-0.38440 	-0.33640 	-0.31850 	-0.38360 	-0.43430 	-0.45120 	-0.40130 	0.10140 	1.25820 	2.17100 	2.92170 	3.44070 	3.71940 	3.70970 	3.65440 	3.42970 	2.98040 	2.50880 	1.97800 	1.73770 
Q,IRT_DTD,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.75067 	6.12692 	6.07076 	5.77793 	6.10922 	6.45692 	5.98870 	5.80043 	5.01604 	4.72341 	4.33272 	4.24989 	4.26044 	3.87626 	3.90707 	4.04196 	3.97200 	3.77022 	3.78641 	3.38315 	3.05370 	2.60860 	2.46580 	2.83140 	3.28350 	3.98470 	4.43880 	4.80520 	4.83860 	4.74080 	4.34080 	3.62860 	3.28060 	3.32430 	3.30410 	3.23730 	2.76680 	2.44180 	2.06550 	2.01550 	2.01890 	2.03950 	2.05330 	2.08240 	2.06420 	2.06920 	2.07580 	2.14200 	2.40200 	2.63470 	2.94180 	3.36270 	3.60910 	3.85530 	4.04690 	3.95070 	4.04510 	4.00080 	4.25270 	3.17300 	1.37400 	0.77160 	0.35620 	0.35850 	0.34430 	0.35050 	0.45340 	0.59430 	0.67390 	1.04470 	0.97270 	0.79220 	0.36750 	0.33780 	0.13190 	0.08140 	0.06790 	0.08180 	0.08530 	0.12010 	0.18220 	0.19160 	0.02300 	-0.01510 	-0.04590 	-0.10020 	-0.12480 	-0.15790 	-0.25590 	-0.33610 	-0.33700 	-0.34860 	-0.35260 	-0.35820 	-0.35780 	-0.35050 	-0.36360 	-0.36330 	-0.36170 	-0.36280 	-0.36730 	-0.36510 	-0.37650 	-0.45750 	-0.45150 	-0.45650 	-0.46710 	-0.47100 	-0.47880 	-0.48000 	-0.48310 	-0.48870 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_DTD,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.68 	0.53 	0.50 	0.50 	0.43 	0.45 	0.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_DTD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.81 	14.38 	17.29 	21.14 	20.79 	24.06 	27.92 	29.62 	33.09 	33.91 	29.92 	28.58 	25.36 	24.25 	23.35 	22.80 	22.60 	20.72 	19.86 	19.40 	19.31 	18.00 	17.02 	17.59 	16.10 	14.87 	14.26 	13.88 	11.80 	10.81 	10.69 	10.93 	11.08 	11.01 	10.99 	10.60 	8.72 	8.16 	9.22 	9.35 	6.10 	7.01 	9.52 	10.45 	12.40 	11.82 	11.34 	10.47 	8.76 	7.14 	6.66 	5.70 	5.72 	5.61 	6.62 	7.75 	7.91 	7.98 	7.49 	7.19 	7.27 	7.64 	8.27 	9.89 	9.24 	9.12 	8.21 	6.43 	5.53 	4.92 	4.44 	4.63 	5.17 	5.34 	5.29 	5.43 	6.21 	6.29 	6.24 	5.63 	5.28 	4.38 	3.40 	2.85 	2.14 	1.93 	1.48 	1.41 	1.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_DTD,JP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.61 	7.17 	7.12 	6.84 	6.64 	6.19 	6.46 	6.29 	6.05 	5.84 	6.15 	6.22 	6.25 	6.07 	6.25 	7.28 	6.06 	4.43 	4.56 	4.12 	4.00 	3.28 	3.25 	3.53 	3.49 	3.33 	3.78 	3.89 	3.91 	4.36 	5.18 	6.04 	6.52 	7.10 	7.44 	7.91 	8.08 	8.03 	7.26 	6.46 	5.58 	4.75 	4.29 	3.97 	3.48 	3.20 	3.09 	2.48 	2.27 	2.11 	2.13 	2.27 	2.22 	1.37 	0.80 	0.46 	0.46 	0.48 	0.46 	0.48 	0.50 	0.50 	0.49 	0.45 	0.43 	0.44 	0.39 	0.23 	0.15 	0.03 	0.03 	0.02 	0.02 	0.02 	0.14 	0.25 	0.20 	0.02 	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 d	0.00 d	0.00 d	0.00 d	0.00 	0.00 	0.00 	0.00 	0.00 	0.01 	0.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_DTD,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.03 	27.01 	26.12 	25.48 	23.09 	21.86 	19.30 	20.69 	21.98 	22.72 	22.87 	23.06 	24.51 	23.14 	19.23 	17.59 	14.03 	13.40 	13.21 	14.94 	16.52 	16.55 	17.69 	19.43 	19.85 	18.00 	16.00 	14.71 	11.68 	10.33 	8.61 	7.34 	6.64 	5.75 	5.21 	5.17 	5.15 	5.04 	5.99 	6.48 	6.45 	5.62 	4.84 	4.43 	4.28 	4.05 	4.02 	4.04 	4.04 	4.20 	4.59 	4.85 	5.43 	5.97 	6.01 	5.58 	3.88 	3.23 	2.83 	2.76 	2.90 	3.20 	3.11 	3.11 	3.47 	3.97 	4.50 	4.43 	4.44 	4.71 	4.88 	4.62 	3.84 	3.10 	2.54 	2.55 	2.59 	2.60 	2.61 	2.07 	1.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_DTD,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	103.09 	82.82 	49.30 	50.70 	52.95 	35.98 	36.62 	40.65 	44.31 	42.79 	32.32 	32.12 	30.64 	25.17 	20.21 	17.54 	17.40 	17.59 	17.98 	19.11 	19.98 	19.66 	18.01 	17.60 	9.72 	7.08 	5.38 	2.87 	6.13 	7.79 	7.36 	6.85 	5.99 	9.14 	5.50 	6.93 	8.87 	9.88 	11.13 	14.75 	12.72 	9.52 	8.73 	9.36 	4.94 	4.56 	3.67 	3.07 	3.75 	3.65 	4.32 	5.17 	2.76 	3.93 	4.53 	5.33 	4.60 	3.11 	2.50 	1.58 	1.83 	1.92 	1.78 	0.35 	0.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_DTD,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.49422 	14.81484 	15.13141 	13.59793 	11.67211 	10.93780 	9.04804 	8.81413 	10.92056 	8.54516 	8.54641 	8.73413 	9.23736 	10.28330 	10.34043 	10.45848 	10.80822 	11.56846 	12.10685 	11.79826 	13.59167 	12.83066 	12.57054 	14.76435 	12.34950 	11.70010 	10.39690 	12.13690 	12.50960 	11.90520 	21.42760 	13.62290 	10.42710 	9.42420 	8.46880 	8.00740 	7.64480 	7.24020 	7.14470 	7.40800 	7.78490 	8.48720 	8.93480 	8.93980 	8.32710 	6.75060 	5.48620 	4.62620 	4.20000 	4.20000 	4.20000 	4.20000 	4.87330 	4.34170 	4.23370 	3.89900 	3.37590 	3.05010 	3.00760 	3.18170 	3.64690 	3.85150 	3.85480 	3.89830 	4.09980 	4.10690 	4.26070 	3.85300 	3.88420 	4.26670 	4.35000 	4.19490 	3.81000 	3.48770 	2.89720 	2.86130 	2.70470 	2.12580 	2.09980 	2.10000 	2.09980 	2.04790 	1.60180 	1.60090 	1.88970 	2.14280 	2.42310 	2.79500 	3.21340 	3.41330 	3.66790 	4.09770 	4.34160 	4.39680 	4.80860 	3.87090 	1.55820 	0.67580 	0.28450 	0.25000 	0.25000 	0.25280 	0.64630 	1.17110 	1.66470 	1.92140 	2.16460 	2.15030 	1.81480 	1.64640 	1.55080 	1.27920 	1.05880 	1.06330 	1.02910 	1.01210 	0.79290 	0.79500 	0.33860 	0.15670 	0.00270 	-0.27090 	-0.34680 	-0.37530 	-0.45650 	-0.55110 	-0.54740 	-0.55730 	-0.55060 	-0.51810 	-0.52850 	-0.50120 	-0.52400 	-0.51310 	-0.51430 	-0.48620 	-0.24370 	-0.22040 	-0.21010 	-0.21110 	0.01280 	-0.01040 	-0.04850 	-0.05890 	-0.05850 	-0.05490 	-0.05740 	-0.05910 	-0.07010 	0.08870 	0.78830 	1.94820 	2.69890 	3.28900 	3.71650 	3.97830 	3.99650 	3.86820 	3.63690 	2.99020 	2.36660 	2.23410 	2.00240 
