FREQ;Frequency;REF_AREA;Territory;DATA_TYPE;Indicator;SEX;Sex (DESC);AGE;Age (DESC);TIME_PERIOD;Observation;OBS_STATUS;Observation status
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2004-Q1;23.494424;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2004-Q2;24.487588;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2004-Q3;21.449144;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2004-Q4;24.858261;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2005-Q1;25.318197;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2005-Q2;22.878299;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2005-Q3;23.709309;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2005-Q4;24.672985;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2006-Q1;24.181647;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2006-Q2;20.81012;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2006-Q3;19.170674;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2006-Q4;22.883719;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2007-Q1;20.804822;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2007-Q2;18.529497;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2007-Q3;18.948716;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2007-Q4;23.251156;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2008-Q1;21.158967;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2008-Q2;20.433172;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2008-Q3;19.538221;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2008-Q4;23.808372;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2009-Q1;26.084393;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2009-Q2;23.924068;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2009-Q3;23.471431;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2009-Q4;28.18437;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2010-Q1;29.000644;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2010-Q2;28.09344;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2010-Q3;24.864345;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2010-Q4;29.831557;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2011-Q1;29.811114;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2011-Q2;27.743575;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2011-Q3;26.450885;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2011-Q4;32.409858;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2012-Q1;35.662752;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2012-Q2;34.400504;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2012-Q3;32.214512;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2012-Q4;39.022453;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2013-Q1;41.812132;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2013-Q2;37.302593;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2013-Q3;37.310076;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2013-Q4;43.467546;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2014-Q1;46.303984;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2014-Q2;41.640502;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2014-Q3;39.503924;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2014-Q4;43.283608;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2015-Q1;44.927487;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2015-Q2;41.086155;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2015-Q3;35.243679;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2015-Q4;39.967804;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2016-Q1;40.28075;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2016-Q2;35.447967;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2016-Q3;34.371585;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2016-Q4;40.602255;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2017-Q1;37.235893;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2017-Q2;34.093975;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2017-Q3;32.263713;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2017-Q4;35.029419;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2018-Q1;33.775289;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2018-Q2;31.5925;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2018-Q3;29.253272;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2018-Q4;34.119721;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2019-Q1;33.185607;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2019-Q2;28.327278;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2019-Q3;25.742988;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2019-Q4;29.344827;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2020-Q1;30.718222;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2020-Q2;24.948237;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2020-Q3;31.496918;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2020-Q4;31.318365;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2021-Q1;34.712609;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2021-Q2;29.472224;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2021-Q3;26.93475;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2021-Q4;28.011444;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2022-Q1;25.978324;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2022-Q2;22.573029;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2022-Q3;22.509972;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2022-Q4;23.882082;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2023-Q1;23.091795;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2023-Q2;22.108143;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2023-Q3;21.680081;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2023-Q4;24.018567;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2024-Q1;22.457408;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2024-Q2;20.196836;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2024-Q3;17.981181;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2024-Q4;20.620026;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2025-Q1;21.042188;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y15-24;15-24 years;2025-Q2;21.495735;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y18-29;18-29 years;2018-Q1;25.508712;;
Q;Quarterly;IT;Italy;UNEM_R;Unemployment rate;9;Total;Y18-29;18-29 years;2018-Q2;24.182887;;
