REF_AREA,TIME_PERIOD,Observation,DATA_TYPE_AGGR,INSTITUTIONAL_SECTOR,Variable
IT,1999-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,1999-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,1999-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,1999-Q4,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2000-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2000-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2000-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2000-Q4,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2001-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2001-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2001-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2001-Q4,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2002-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2002-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2002-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2002-Q4,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2003-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2003-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2003-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2003-Q4,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2004-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2004-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2004-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2004-Q4,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2005-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2005-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2005-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2005-Q4,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2006-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2006-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2006-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2006-Q4,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2007-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2007-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2007-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2007-Q4,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2008-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2008-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2008-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2008-Q4,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2009-Q1,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2009-Q2,..,PA_GSA_Z_W0,S13,Sector público en el PIB
IT,2009-Q3,..,PA_GSA_Z_W0,S13,Sector público en el PIB
