fecha,año,mes,indice_confianza
1999-01-01,1999,1,-23.4
1999-01-01,1999,1,-23.4
1999-01-01,1999,1,-3.4
1999-01-01,1999,1,-3.9
1999-01-01,1999,1,93.2
1999-01-01,1999,1,-7
1999-01-01,1999,1,-8.8
1999-01-01,1999,1,-60.9
1999-01-01,1999,1,-65.2
1999-01-01,1999,1,2
1999-01-01,1999,1,1.1
1999-02-01,1999,2,-22.8
1999-02-01,1999,2,-23.7
1999-02-01,1999,2,-5.3
1999-02-01,1999,2,-5.5
1999-02-01,1999,2,92.2
1999-02-01,1999,2,-7.4
1999-02-01,1999,2,-9.8
1999-02-01,1999,2,-55.5
1999-02-01,1999,2,-59.4
1999-02-01,1999,2,-0.4
1999-02-01,1999,2,0.7
1999-03-01,1999,3,-22.3
1999-03-01,1999,3,-22.6
1999-03-01,1999,3,-8
1999-03-01,1999,3,-7.7
1999-03-01,1999,3,92.6
1999-03-01,1999,3,-4.7
1999-03-01,1999,3,-7.7
1999-03-01,1999,3,-68.8
1999-03-01,1999,3,-62.9
1999-03-01,1999,3,-3
1999-03-01,1999,3,-2.2
1999-04-01,1999,4,-24.3
1999-04-01,1999,4,-25.8
1999-04-01,1999,4,-9.3
1999-04-01,1999,4,-9.3
1999-04-01,1999,4,91.1
1999-04-01,1999,4,-7.9
1999-04-01,1999,4,-9.3
1999-04-01,1999,4,-66.6
1999-04-01,1999,4,-66
1999-04-01,1999,4,2.4
1999-04-01,1999,4,0.5
1999-05-01,1999,5,-19.3
1999-05-01,1999,5,-19.2
1999-05-01,1999,5,-9.2
1999-05-01,1999,5,-10.2
1999-05-01,1999,5,94.9
1999-05-01,1999,5,-5.9
1999-05-01,1999,5,-5.8
1999-05-01,1999,5,-48.2
1999-05-01,1999,5,-55.4
1999-05-01,1999,5,2.8
1999-05-01,1999,5,0.2
1999-06-01,1999,6,-23.8
1999-06-01,1999,6,-24.1
1999-06-01,1999,6,-5.8
1999-06-01,1999,6,-6.8
1999-06-01,1999,6,100.8
1999-06-01,1999,6,-2.1
1999-06-01,1999,6,-1.1
1999-06-01,1999,6,-51.2
1999-06-01,1999,6,-54.7
1999-06-01,1999,6,3.2
1999-06-01,1999,6,3.9
1999-07-01,1999,7,-25.3
1999-07-01,1999,7,-25.6
1999-07-01,1999,7,-6.9
1999-07-01,1999,7,-7.7
1999-07-01,1999,7,101.9
1999-07-01,1999,7,-0.3
1999-07-01,1999,7,0
1999-07-01,1999,7,-56.9
1999-07-01,1999,7,-54.2
1999-07-01,1999,7,1.9
1999-07-01,1999,7,5.8
1999-08-01,1999,8,-26.2
1999-08-01,1999,8,-26.8
1999-08-01,1999,8,-6.9
1999-08-01,1999,8,-7.6
1999-08-01,1999,8,103.4
1999-08-01,1999,8,-0.6
1999-08-01,1999,8,0.2
1999-08-01,1999,8,-52.5
1999-08-01,1999,8,-50.3
1999-08-01,1999,8,9.4
1999-08-01,1999,8,11.1
1999-09-01,1999,9,-21.2
1999-09-01,1999,9,-21.1
1999-09-01,1999,9,-7.7
1999-09-01,1999,9,-7.7
1999-09-01,1999,9,105.8
1999-09-01,1999,9,2
1999-09-01,1999,9,1.8
1999-09-01,1999,9,-50.3
1999-09-01,1999,9,-45.1
1999-09-01,1999,9,16.6
1999-09-01,1999,9,17.5
1999-10-01,1999,10,-13.6
1999-10-01,1999,10,-13
1999-10-01,1999,10,-7.2
1999-10-01,1999,10,-5.6
1999-10-01,1999,10,110.7
1999-10-01,1999,10,1.5
1999-10-01,1999,10,4
1999-10-01,1999,10,-48.3
1999-10-01,1999,10,-47
1999-10-01,1999,10,24
1999-10-01,1999,10,23.2
1999-11-01,1999,11,-13.1
1999-11-01,1999,11,-12.2
1999-11-01,1999,11,-7.1
1999-11-01,1999,11,-5.9
1999-11-01,1999,11,111.8
1999-11-01,1999,11,1.8
1999-11-01,1999,11,5.3
1999-11-01,1999,11,-46.1
1999-11-01,1999,11,-47.1
1999-11-01,1999,11,21.4
1999-11-01,1999,11,23
1999-12-01,1999,12,-7.5
1999-12-01,1999,12,-5.5
1999-12-01,1999,12,-6.5
1999-12-01,1999,12,-5.4
1999-12-01,1999,12,114.2
1999-12-01,1999,12,6.5
1999-12-01,1999,12,7
1999-12-01,1999,12,-53.5
1999-12-01,1999,12,-51.4
1999-12-01,1999,12,18.8
1999-12-01,1999,12,21.6
2000-01-01,2000,1,-9.4
2000-01-01,2000,1,-9.4
2000-01-01,2000,1,-1.9
2000-01-01,2000,1,-2.3
2000-01-01,2000,1,118.3
2000-01-01,2000,1,10.9
2000-01-01,2000,1,9.2
2000-01-01,2000,1,-13.8
2000-01-01,2000,1,-18.5
2000-01-01,2000,1,21.4
2000-01-01,2000,1,21
2000-02-01,2000,2,-6.7
2000-02-01,2000,2,-7.5
2000-02-01,2000,2,-4
2000-02-01,2000,2,-4.2
2000-02-01,2000,2,120.7
2000-02-01,2000,2,11.5
2000-02-01,2000,2,9
2000-02-01,2000,2,27.6
2000-02-01,2000,2,25
2000-02-01,2000,2,25.1
2000-02-01,2000,2,23.8
2000-03-01,2000,3,-11.5
2000-03-01,2000,3,-11.8
2000-03-01,2000,3,-5.8
2000-03-01,2000,3,-5.4
2000-03-01,2000,3,119
2000-03-01,2000,3,13.3
2000-03-01,2000,3,10.6
2000-03-01,2000,3,-16
2000-03-01,2000,3,-10.9
2000-03-01,2000,3,29
2000-03-01,2000,3,26.9
2000-04-01,2000,4,-11.3
2000-04-01,2000,4,-12.7
2000-04-01,2000,4,-4.8
2000-04-01,2000,4,-4.8
2000-04-01,2000,4,122
2000-04-01,2000,4,11.3
2000-04-01,2000,4,10.2
2000-04-01,2000,4,10.2
2000-04-01,2000,4,10.5
2000-04-01,2000,4,32.7
2000-04-01,2000,4,30.5
2000-05-01,2000,5,-5
2000-05-01,2000,5,-4.9
2000-05-01,2000,5,-5.8
2000-05-01,2000,5,-6.7
2000-05-01,2000,5,123.7
2000-05-01,2000,5,12.2
2000-05-01,2000,5,11.5
2000-05-01,2000,5,33.3
2000-05-01,2000,5,26
2000-05-01,2000,5,31.1
2000-05-01,2000,5,29
2000-06-01,2000,6,-6.6
2000-06-01,2000,6,-7
2000-06-01,2000,6,-5.1
2000-06-01,2000,6,-6.1
2000-06-01,2000,6,120.9
2000-06-01,2000,6,9.1
2000-06-01,2000,6,10.4
2000-06-01,2000,6,-10.9
2000-06-01,2000,6,-14.1
2000-06-01,2000,6,29.6
2000-06-01,2000,6,30.5
2000-07-01,2000,7,-5.1
2000-07-01,2000,7,-5.5
2000-07-01,2000,7,-4.6
2000-07-01,2000,7,-5.4
2000-07-01,2000,7,116.6
2000-07-01,2000,7,10.8
2000-07-01,2000,7,11.2
2000-07-01,2000,7,-25.8
2000-07-01,2000,7,-23.3
2000-07-01,2000,7,16.3
2000-07-01,2000,7,19.7
2000-08-01,2000,8,-5
2000-08-01,2000,8,-5.5
2000-08-01,2000,8,-3.5
2000-08-01,2000,8,-4.2
2000-08-01,2000,8,117.3
2000-08-01,2000,8,7.9
2000-08-01,2000,8,8.7
2000-08-01,2000,8,-9
2000-08-01,2000,8,-6.6
2000-08-01,2000,8,18
2000-08-01,2000,8,19.4
2000-09-01,2000,9,-2.2
2000-09-01,2000,9,-2.1
2000-09-01,2000,9,-7.7
2000-09-01,2000,9,-7.6
2000-09-01,2000,9,114
2000-09-01,2000,9,9.8
2000-09-01,2000,9,9.2
2000-09-01,2000,9,-35.1
2000-09-01,2000,9,-30.3
2000-09-01,2000,9,19.7
2000-09-01,2000,9,20.2
2000-10-01,2000,10,-6.5
2000-10-01,2000,10,-5.9
2000-10-01,2000,10,-5
2000-10-01,2000,10,-3.5
2000-10-01,2000,10,116.1
2000-10-01,2000,10,5.3
2000-10-01,2000,10,8
2000-10-01,2000,10,-12.1
2000-10-01,2000,10,-10.1
2000-10-01,2000,10,23.3
2000-10-01,2000,10,22.2
2000-11-01,2000,11,-3.2
2000-11-01,2000,11,-2.3
2000-11-01,2000,11,-6.9
2000-11-01,2000,11,-5.7
2000-11-01,2000,11,115.5
2000-11-01,2000,11,4.4
2000-11-01,2000,11,7.9
2000-11-01,2000,11,-0.9
2000-11-01,2000,11,-2.3
2000-11-01,2000,11,20
2000-11-01,2000,11,20.6
2000-12-01,2000,12,-3.8
2000-12-01,2000,12,-1.7
2000-12-01,2000,12,-5.7
2000-12-01,2000,12,-4.7
2000-12-01,2000,12,116.4
2000-12-01,2000,12,7.7
2000-12-01,2000,12,8.5
2000-12-01,2000,12,-20.9
2000-12-01,2000,12,-18.4
2000-12-01,2000,12,16.6
2000-12-01,2000,12,19.3
2001-01-01,2001,1,-3.3
2001-01-01,2001,1,-3.4
2001-01-01,2001,1,-4.3
2001-01-01,2001,1,-4.8
2001-01-01,2001,1,114.8
2001-01-01,2001,1,6.6
2001-01-01,2001,1,5
2001-01-01,2001,1,0.4
2001-01-01,2001,1,-5
2001-01-01,2001,1,25.5
2001-01-01,2001,1,26.5
2001-02-01,2001,2,-6.1
2001-02-01,2001,2,-6.9
2001-02-01,2001,2,-5.3
2001-02-01,2001,2,-5.5
2001-02-01,2001,2,111.5
2001-02-01,2001,2,4
2001-02-01,2001,2,1.5
2001-02-01,2001,2,3.2
2001-02-01,2001,2,1.5
2001-02-01,2001,2,26
2001-02-01,2001,2,24.5
2001-03-01,2001,3,3.6
2001-03-01,2001,3,3.3
2001-03-01,2001,3,-5.5
2001-03-01,2001,3,-5.2
2001-03-01,2001,3,109.8
2001-03-01,2001,3,1.4
2001-03-01,2001,3,-1
2001-03-01,2001,3,2.7
2001-03-01,2001,3,6.6
2001-03-01,2001,3,26.6
2001-03-01,2001,3,22.3
2001-04-01,2001,4,-3.2
2001-04-01,2001,4,-4.6
2001-04-01,2001,4,-5.2
2001-04-01,2001,4,-5.2
2001-04-01,2001,4,103.1
2001-04-01,2001,4,0
2001-04-01,2001,4,-1.4
2001-04-01,2001,4,-2.5
2001-04-01,2001,4,-2.3
2001-04-01,2001,4,11.6
2001-04-01,2001,4,9
2001-05-01,2001,5,-0.5
2001-05-01,2001,5,-0.4
2001-05-01,2001,5,-2.1
2001-05-01,2001,5,-3
2001-05-01,2001,5,104.9
2001-05-01,2001,5,0.8
2001-05-01,2001,5,-0.1
2001-05-01,2001,5,-5.5
2001-05-01,2001,5,-11.1
2001-05-01,2001,5,11.1
2001-05-01,2001,5,9.4
2001-06-01,2001,6,-3.9
2001-06-01,2001,6,-4.3
2001-06-01,2001,6,-0.5
2001-06-01,2001,6,-1.5
2001-06-01,2001,6,106
2001-06-01,2001,6,-2.9
2001-06-01,2001,6,-1.4
2001-06-01,2001,6,-10.3
2001-06-01,2001,6,-12.7
2001-06-01,2001,6,10.7
2001-06-01,2001,6,11.9
2001-07-01,2001,7,-3.6
2001-07-01,2001,7,-3.9
2001-07-01,2001,7,-0.1
2001-07-01,2001,7,-0.9
2001-07-01,2001,7,108.8
2001-07-01,2001,7,-2.3
2001-07-01,2001,7,-1.6
2001-07-01,2001,7,-7.8
2001-07-01,2001,7,-6.2
2001-07-01,2001,7,14.9
2001-07-01,2001,7,17
2001-08-01,2001,8,2.1
2001-08-01,2001,8,1.6
2001-08-01,2001,8,-0.7
2001-08-01,2001,8,-1.4
2001-08-01,2001,8,106.7
2001-08-01,2001,8,-1.6
2001-08-01,2001,8,-1.5
2001-08-01,2001,8,-25.9
2001-08-01,2001,8,-23.9
2001-08-01,2001,8,9.7
2001-08-01,2001,8,9.2
2001-09-01,2001,9,1.1
2001-09-01,2001,9,1.2
2001-09-01,2001,9,-3.5
2001-09-01,2001,9,-3.5
2001-09-01,2001,9,97.9
2001-09-01,2001,9,-10.1
2001-09-01,2001,9,-10.4
2001-09-01,2001,9,-25.4
2001-09-01,2001,9,-22.6
2001-09-01,2001,9,4.7
2001-09-01,2001,9,4
2001-10-01,2001,10,2
2001-10-01,2001,10,2.6
2001-10-01,2001,10,-5.6
2001-10-01,2001,10,-4.1
2001-10-01,2001,10,90.6
2001-10-01,2001,10,-14.7
2001-10-01,2001,10,-12.1
2001-10-01,2001,10,-18.2
2001-10-01,2001,10,-16.7
2001-10-01,2001,10,-9.5
2001-10-01,2001,10,-10.3
2001-11-01,2001,11,-1.7
2001-11-01,2001,11,-0.8
2001-11-01,2001,11,-8.7
2001-11-01,2001,11,-7.5
2001-11-01,2001,11,90.7
2001-11-01,2001,11,-12.7
2001-11-01,2001,11,-9.7
2001-11-01,2001,11,-10.8
2001-11-01,2001,11,-12.7
2001-11-01,2001,11,-14.9
2001-11-01,2001,11,-15.1
2001-12-01,2001,12,-9.4
2001-12-01,2001,12,-7.4
2001-12-01,2001,12,-5.7
2001-12-01,2001,12,-4.7
2001-12-01,2001,12,99.3
2001-12-01,2001,12,-6.5
2001-12-01,2001,12,-5.2
2001-12-01,2001,12,-30
2001-12-01,2001,12,-27.5
2001-12-01,2001,12,-3.3
2001-12-01,2001,12,-0.2
2002-01-01,2002,1,-9.9
2002-01-01,2002,1,-9.9
