año,trimestre,indice_confianza
1999,Q1,-9.512121212121212
1999,Q2,-7.924242424242425
1999,Q3,-3.742424242424242
1999,Q4,2.993939393939394
2000,Q1,14.642424242424243
2000,Q2,17.845454545454547
2000,Q3,10.009090909090908
2000,Q4,11.884848484848485
2001,Q1,14.272727272727273
2001,Q2,8.906060606060606
2001,Q3,6.7272727272727275
2001,Q4,-0.015151515151515213
2002,Q1,7.1454545454545455
2002,Q2,7.857575757575757
2002,Q3,4.445454545454545
2002,Q4,2.4242424242424243
2003,Q1,3.687878787878788
2003,Q2,2.3060606060606066
2003,Q3,0.5333333333333332
2003,Q4,1.303030303030303
2004,Q1,1.606060606060606
2004,Q2,4.621212121212121
2004,Q3,3.3454545454545457
2004,Q4,2.1454545454545455
2005,Q1,1.5242424242424246
2005,Q2,2.4333333333333336
2005,Q3,3.306060606060606
2005,Q4,6.290909090909091
2006,Q1,7.987878787878787
2006,Q2,10.881818181818183
2006,Q3,10.196969696969697
2006,Q4,9.196969696969697
2007,Q1,10.342424242424242
2007,Q2,10.975757575757576
2007,Q3,7.793939393939394
2007,Q4,5.733333333333333
2008,Q1,2.7909090909090906
2008,Q2,1.893939393939394
2008,Q3,-1.4151515151515148
2008,Q4,-9.212121212121213
2009,Q1,-13.624242424242425
2009,Q2,-10.260606060606062
2009,Q3,-5.324242424242424
2009,Q4,-3.9969696969696966
2010,Q1,-0.6000000000000003
2010,Q2,0.23636363636363664
2010,Q3,-0.36969696969697013
2010,Q4,1.396969696969697
2011,Q1,0.8181818181818182
2011,Q2,0.4969696969696973
2011,Q3,-3.8696969696969696
2011,Q4,-8.927272727272728
2012,Q1,-11.424242424242424
2012,Q2,-12.521212121212121
2012,Q3,-13.936363636363637
2012,Q4,-14.56060606060606
2013,Q1,-14.981818181818182
2013,Q2,-13.409090909090908
2013,Q3,-7.627272727272727
2013,Q4,-5.993939393939394
2014,Q1,-3.866666666666667
2014,Q2,-1.6303030303030304
2014,Q3,-2.2484848484848485
2014,Q4,-4.327272727272727
2015,Q1,1.2757575757575759
2015,Q2,4.757575757575758
2015,Q3,6.609090909090909
2015,Q4,8.042424242424243
2016,Q1,5.306060606060607
2016,Q2,6.4363636363636365
2016,Q3,4.636363636363637
2016,Q4,4.951515151515151
2017,Q1,7.16060606060606
2017,Q2,9.1
2017,Q3,9.10909090909091
2017,Q4,11.112121212121213
2018,Q1,9.89090909090909
2018,Q2,9.418181818181818
2018,Q3,9.224242424242425
2018,Q4,7.1454545454545455
2019,Q1,6.609090909090909
2019,Q2,7.33030303030303
2019,Q3,7.254545454545455
2019,Q4,6.742424242424242
2020,Q1,2.766666666666667
2020,Q2,-20.604545454545455
2020,Q3,-5.03030303030303
2020,Q4,-1.9909090909090907
2021,Q1,2.751515151515151
2021,Q2,12.178787878787878
2021,Q3,17.62727272727273
2021,Q4,17.2
2022,Q1,11.393939393939394
2022,Q2,10.218181818181819
2022,Q3,8.27878787878788
2022,Q4,8.184848484848484
