Año,Trimestre,Indice
2000,Q1,76
2000,Q2,78.2
2000,Q3,80.1
2000,Q4,78.9
2001,Q1,78.5
2001,Q2,80.4
2001,Q3,82.4
2001,Q4,80.7
2002,Q1,81
2002,Q2,82.8
2002,Q3,83.8
2002,Q4,83.5
2003,Q1,83.7
2003,Q2,85.8
2003,Q3,86.9
2003,Q4,85
2004,Q1,85.6
2004,Q2,88.3
2004,Q3,89.5
2004,Q4,87.8
2005,Q1,87.1
2005,Q2,88.9
2005,Q3,89.3
2005,Q4,88.4
2006,Q1,87.6
2006,Q2,90
2006,Q3,91.5
2006,Q4,90.6
2007,Q1,90.6
2007,Q2,94.2
2007,Q3,95.9
2007,Q4,94.8
2008,Q1,94.2
2008,Q2,96.7
2008,Q3,97.6
2008,Q4,94.9
2009,Q1,92.6
2009,Q2,93.9
2009,Q3,94.3
2009,Q4,91.9
2010,Q1,90
2010,Q2,92.3
2010,Q3,93.2
2010,Q4,91.1
2011,Q1,89.8
2011,Q2,92.3
2011,Q3,93.4
2011,Q4,91
2012,Q1,89.1
2012,Q2,91.3
2012,Q3,92.1
2012,Q4,89.5
2013,Q1,87.6
2013,Q2,89.4
2013,Q3,90.2
2013,Q4,87.6
2014,Q1,86
2014,Q2,88.5
2014,Q3,89.6
2014,Q4,87
2015,Q1,85.5
2015,Q2,89.1
2015,Q3,90.8
2015,Q4,89.5
2016,Q1,88.9
2016,Q2,91.8
2016,Q3,93.6
2016,Q4,91.8
2017,Q1,90.9
2017,Q2,95
2017,Q3,97
2017,Q4,94.6
2018,Q1,93.8
2018,Q2,97.4
2018,Q3,99
2018,Q4,96.4
2019,Q1,95.4
2019,Q2,99.1
2019,Q3,101.1
2019,Q4,98.3
2020,Q1,96.5
2020,Q2,95.4
2020,Q3,98.7
2020,Q4,96.9
2021,Q1,95.1
2021,Q2,99.3
2021,Q3,103.5
2021,Q4,102.2
2022,Q1,101.7
2022,Q2,105.6
2022,Q3,107.6
2022,Q4,105
2023,Q1,104.5
2023,Q2,108.4
2023,Q3,110.3
2023,Q4,107.9
2024,Q1,107
2024,Q2,110.9
2024,Q3,112.5
2024,Q4,109.8
2025,Q1,108.9
2025,Q2,112.6
