año,trimestre,indice_precios
2010,Q1,98
2010,Q2,98.7
2010,Q3,99.4
2010,Q4,100.3
2011,Q1,100.5
2011,Q2,101.8
2011,Q3,102.1
2011,Q4,102.5
2012,Q1,103.2
2012,Q2,103.8
2012,Q3,103.3
2012,Q4,103.3
2013,Q1,102.7
2013,Q2,102.7
2013,Q3,102.4
2013,Q4,101.9
2014,Q1,101.1
2014,Q2,100.9
2014,Q3,100.7
2014,Q4,100.4
2015,Q1,99.6
2015,Q2,99.5
2015,Q3,100.7
2015,Q4,100.2
2016,Q1,100.3
2016,Q2,100.6
2016,Q3,100.8
2016,Q4,100.9
2017,Q1,100.4
2017,Q2,100.8
2017,Q3,100.7
2017,Q4,101.3
2018,Q1,101.1
2018,Q2,101.5
2018,Q3,101.8
2018,Q4,102.2
2019,Q1,102.1
2019,Q2,102.4
2019,Q3,102.7
2019,Q4,103
2020,Q1,102.9
2020,Q2,103.7
2020,Q3,103.7
2020,Q4,104.2
2021,Q1,104.9
2021,Q2,105.1
2021,Q3,106.3
2021,Q4,106.7
2022,Q1,107.5
2022,Q2,110.8
2022,Q3,109.6
2022,Q4,110.6
2023,Q1,111.2
2023,Q2,112.2
2023,Q3,113.4
2023,Q4,114.7
2024,Q1,114.5
2024,Q2,116.1
2024,Q3,116.8
2024,Q4,117.7
2025,Q1,117.3
