año,trimestre,productividad
1996,Q1,0.856
1996,Q2,0.856
1996,Q3,0.856
1996,Q4,0.856
1997,Q1,1.788
1997,Q2,1.788
1997,Q3,1.788
1997,Q4,1.788
1998,Q1,-0.606
1998,Q2,-0.606
1998,Q3,-0.606
1998,Q4,-0.606
1999,Q1,0.718
1999,Q2,0.718
1999,Q3,0.718
1999,Q4,0.718
2000,Q1,3.926
2000,Q2,3.926
2000,Q3,3.926
2000,Q4,3.926
2001,Q1,-0.208
2001,Q2,-0.208
2001,Q3,-0.208
2001,Q4,-0.208
2002,Q1,-0.835
2002,Q2,-0.835
2002,Q3,-0.835
2002,Q4,-0.835
2003,Q1,-0.823
2003,Q2,-0.823
2003,Q3,-0.823
2003,Q4,-0.823
2004,Q1,1.624
2004,Q2,1.624
2004,Q3,1.624
2004,Q4,1.624
2005,Q1,0.711
2005,Q2,0.711
2005,Q3,0.711
2005,Q4,0.711
2006,Q1,-0.21
2006,Q2,-0.21
2006,Q3,-0.21
2006,Q4,-0.21
2007,Q1,0.363
2007,Q2,0.363
2007,Q3,0.363
2007,Q4,0.363
2008,Q1,-0.859
2008,Q2,-0.859
2008,Q3,-0.859
2008,Q4,-0.859
2009,Q1,-3.823
2009,Q2,-3.823
2009,Q3,-3.823
2009,Q4,-3.823
2010,Q1,3.553
2010,Q2,3.553
2010,Q3,3.553
2010,Q4,3.553
2011,Q1,0.795
2011,Q2,0.795
2011,Q3,0.795
2011,Q4,0.795
2012,Q1,-0.929
2012,Q2,-0.929
2012,Q3,-0.929
2012,Q4,-0.929
2013,Q1,1.115
2013,Q2,1.115
2013,Q3,1.115
2013,Q4,1.115
2014,Q1,0.241
2014,Q2,0.241
2014,Q3,0.241
2014,Q4,0.241
2015,Q1,-0.039
2015,Q2,-0.039
2015,Q3,-0.039
2015,Q4,-0.039
2016,Q1,-0.05
2016,Q2,-0.05
2016,Q3,-0.05
2016,Q4,-0.05
2017,Q1,1.223
2017,Q2,1.223
2017,Q3,1.223
2017,Q4,1.223
2018,Q1,0.064
2018,Q2,0.064
2018,Q3,0.064
2018,Q4,0.064
2019,Q1,0.859
2019,Q2,0.859
2019,Q3,0.859
2019,Q4,0.859
2020,Q1,3.355
2020,Q2,3.355
2020,Q3,3.355
2020,Q4,3.355
2021,Q1,0.423
2021,Q2,0.423
2021,Q3,0.423
2021,Q4,0.423
2022,Q1,1.194
2022,Q2,1.194
2022,Q3,1.194
2022,Q4,1.194
2023,Q1,-2.043
2023,Q2,-2.043
2023,Q3,-2.043
2023,Q4,-2.043
2024,Q1,-1.951
2024,Q2,-1.951
2024,Q3,-1.951
2024,Q4,-1.951
