año,trimestre,periodo,valor,pais,agregado,tipo_valoracion,tipo_ajuste,edicion,Observation status,Territory (NOTE_REF_AREA),Aggregate (NOTE_DATA_TYPE_AGGR),Base year,unidad_medida,unidad_multiplicacion
NA,QNA,NA,45591,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,50364.5,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,45945.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,54916.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,48688.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,54039.3,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,48677.5,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,54665.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,49353.9,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,55263.3,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,50660.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,59830.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,53517.3,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,59043.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,53530.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,61748.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,56754.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,62015.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,56125.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,64989.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,63865,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,68539.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,61885.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,69917,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,67704.9,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,72244.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,63507.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,73864.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,70832.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,73838.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,68866.9,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,82130,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,72347.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,76605,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,69729.9,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,79166.5,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,74581.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,80929,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,73132.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,82645.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,76423.3,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,84289.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,77592.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,86595.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,81796.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,87918.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,79873.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,92400.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,86977,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,93110.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,83857.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,92743.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,86028.3,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,94209.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,85629.3,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,88552.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,77402.5,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,83244,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,75853.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,85326.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,75897.3,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,86280.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,78113.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,87159.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,79927.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,86583.5,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,78444.9,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,85005.9,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,74452.3,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,78995.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,71213.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,77137.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,67662.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,72776.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,67458.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,72773.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,66271.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,70121.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,66029.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,73053.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,67557.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,73178.9,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,68000,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,75367.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,69998.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,75107.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,70471.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,79250.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,73250.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,77349.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,73575.5,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,82497.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,76847.3,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,82870,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,75624.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,84157.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,79318.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,84934.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,77547.7,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,85262.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,72416.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,65016.5,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,78574,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,87965.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,86902.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,95958.8,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,94630.9,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,105206.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,103781.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,111559.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,104051.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,115703.5,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,120870.1,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,122088.4,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,115431.6,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,127096,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,121691,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,124132.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,113950.5,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,127493.2,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,122236,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
NA,QNA,NA,128206.3,Italy,Gross fixed capital formation,Current prices,Raw data,Oct-2025,NA,NA,NA,NA,Euro,Millions
