"Country","Periodo","GDP.billion.currency.units","Consumer.Price.Index..CPI.","Indice_empleo","EMPLEO","DESEMPLEO","Indice_salarios","Productividad_laboral","exportaciones","importaciones","Total.government.revenue","Total.Government.expenditure","Deficit_Surplus","Deficit_Surplus_Pct","Deficit_Surplus_Pct_PIB","Indice_confianza_trimestral","Indice_confianza_mensual_promedio","Indice_confianza_mensual_max","Indice_confianza_mensual_min","Indice_confianza_compuesto","Indice_precios_vivienda","Tasa_crecimiento_precios_vivienda"
"Italy","1996 Q1",237.44,68,NA,NA,NA,NA,0.856,732607.7,640143.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1996 Q2",259.33,68.7,NA,NA,NA,NA,0.856,760896.8,598668.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1996 Q3",254.3,68.7,NA,NA,NA,NA,0.856,735671.2,557056.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1996 Q4",283.87,69.2,NA,NA,NA,NA,0.856,745872.6,610559.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1997 Q1",254.74,69.5,NA,NA,NA,NA,1.788,719416.5,621838.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1997 Q2",273.15,69.8,NA,NA,NA,NA,1.788,816035.7,682623.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1997 Q3",268.29,69.8,NA,NA,NA,NA,1.788,815573.2,664271.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1997 Q4",300.04,70.4,NA,NA,NA,NA,1.788,814598.6,710433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1998 Q1",265.77,70.9,NA,NA,NA,NA,-0.606,797744.6,734997.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1998 Q2",284.35,71.2,NA,NA,NA,NA,-0.606,865750.7,740448.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1998 Q3",275.89,71.3,NA,NA,NA,NA,-0.606,830179.9,679200.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1998 Q4",308.59,71.5,NA,NA,NA,NA,-0.606,794832.5,719342.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","1999 Q1",274.21,71.9,NA,NA,NA,NA,0.718,744309.4,716428.1,1.05233e+11,1.28069e+11,-2.2836e+10,-21.7004171695191,-8.32792385398053,-9.51212121212121,-9.51212121212121,93.2,-68.8,-9.51212121212121,NA,NA
"Italy","1999 Q2",292.62,72.2,NA,NA,NA,NA,0.718,828242,751068.6,1.33497e+11,1.32004e+11,1.493e+09,1.11837719199682,0.510218030209828,-7.92424242424242,-7.92424242424242,100.8,-66.6,-7.92424242424242,NA,NA
