"Periodo","GDP.billion.currency.units","Consumo_Privado","exportaciones","importaciones","Total.Government.expenditure","PIB_billones","Consumo_billones","Exportaciones_billones","Importaciones_billones","Gasto_Gobierno_billones","Consumo_vs_PIB","Exportaciones_vs_PIB","GastoGov_vs_PIB","Inversion_Privada_billones","Identidad_Macro","Consumo_Pct","Inversion_Pct","Gasto_Gobierno_Pct","Exportaciones_Netas_Pct"
"1996 Q1",237.44,149465.6,732607.7,640143.1,NA,237.44,149.4656,73.26077,64.01431,NA,0.629487870619946,0.308544348045822,NA,NA,NA,62.9487870619946,NA,NA,3.8942301212938
"1996 Q2",259.33,151144.7,760896.8,598668.2,NA,259.33,151.1447,76.08968,59.86682,NA,0.582827671306829,0.29340870705279,NA,NA,NA,58.2827671306829,NA,NA,6.25568194963946
"1996 Q3",254.3,153266.4,735671.2,557056.8,NA,254.3,153.2664,73.56712,55.70568,NA,0.602699174203696,0.289292646480535,NA,NA,NA,60.2699174203696,NA,NA,7.02376720408965
"1996 Q4",283.87,153494.2,745872.6,610559.8,NA,283.87,153.4942,74.58726,61.05598,NA,0.540720047909254,0.26275147074365,NA,NA,NA,54.0720047909254,NA,NA,4.76671715926304
"1997 Q1",254.74,154980.6,719416.5,621838.4,NA,254.74,154.9806,71.94165,62.18384,NA,0.608387375363115,0.282412067205778,NA,NA,NA,60.8387375363115,NA,NA,3.83049776242443
"1997 Q2",273.15,159562.7,816035.7,682623.1,NA,273.15,159.5627,81.60357,68.26231,NA,0.584157788760754,0.298750027457441,NA,NA,NA,58.4157788760754,NA,NA,4.88422478491671
"1997 Q3",268.29,162945.1,815573.2,664271.2,NA,268.29,162.9451,81.55732,66.42712,NA,0.607346900741735,0.303989414439599,NA,NA,NA,60.7346900741735,NA,NA,5.63949457676395
"1997 Q4",300.04,163689.6,814598.6,710433,NA,300.04,163.6896,81.45986,71.0433,NA,0.545559258765498,0.271496667111052,NA,NA,NA,54.5559258765498,NA,NA,3.47172377016397
"1998 Q1",265.77,165553.3,797744.6,734997.8,NA,265.77,165.5533,79.77446,73.49978,NA,0.622919441622455,0.300163524852316,NA,NA,NA,62.2919441622455,NA,NA,2.3609436731008
"1998 Q2",284.35,167911,865750.7,740448.2,NA,284.35,167.911,86.57507,74.04482,NA,0.590508176542993,0.304466572885528,NA,NA,NA,59.0508176542993,NA,NA,4.40662915421136
"1998 Q3",275.89,170653,830179.9,679200.1,NA,275.89,170.653,83.01799,67.92001,NA,0.618554496357244,0.300909746638153,NA,NA,NA,61.8554496357244,NA,NA,5.47246366305412
"1998 Q4",308.59,170940.5,794832.5,719342.4,NA,308.59,170.9405,79.48325,71.93424,NA,0.553940503580803,0.257569104637221,NA,NA,NA,55.3940503580803,NA,NA,2.44629119543731
"1999 Q1",274.21,171403.7,744309.4,716428.1,1.28069e+11,274.21,171.4037,74.43094,71.64281,128069,0.625081871558295,0.271437730206776,467.04715364137,-127968.98183,8.92441676114686e-12,62.5081871558295,-46668.2403376974,46704.715364137,1.01678640458043
"1999 Q2",292.62,174864.6,828242,751068.6,1.32004e+11,292.62,174.8646,82.8242,75.10686,132004,0.597582530244002,0.283043537693938,451.11065545759,-131893.96194,7.50333128962666e-12,59.7582530244002,-45073.4611236416,45111.065545759,2.63732485817784
"1999 Q3",285.31,178918.6,830045.7,730962.6,1.28913e+11,285.31,178.9186,83.00457,73.09626,128913,0.627102449966703,0.290927657635554,451.834846307525,-128816.51691,1.19371179607697e-12,62.7102449966703,-45149.6676982931,45183.4846307525,3.47282254389962
"1999 Q4",323.02,180243.5,869124.5,822151.4,1.65364e+11,323.02,180.2435,86.91245,82.21514,165364,0.557994860999319,0.269062132375704,511.931149774008,-165225.92081,-9.09494701772928e-13,55.7994860999319,-51150.3686490001,51193.1149774008,1.45418549934989
"2000 Q1",290.85,181587.7,889321.2,882401.4,1.31842e+11,290.85,181.5877,88.93212,88.24014,131842,0.624334536702768,0.305766271273852,453.298951349493,-131733.42968,-2.55795384873636e-12,62.4334536702768,-45292.5665050713,45329.8951349493,0.237916451779268
"2000 Q2",309.76,186047.5,955953.6,925014.9,1.37328e+11,309.76,186.0475,95.59536,92.50149,137328,0.600618220557851,0.308611053719008,443.336776859504,-137207.38137,3.13207237923052e-11,60.0618220557851,-44294.7383038481,44333.6776859504,0.998795841942147
"2000 Q3",301.05,189242.5,975826.5,901190.6,1.34124e+11,301.05,189.2425,97.58265,90.11906,134124,0.628608204617173,0.324141006477329,445.520677628301,-134019.65609,1.10276232589968e-11,62.8608204617173,-44517.4077694735,44552.0677628301,2.47918618169739
"2000 Q4",339.86,190036,996957.2,982837.8,1.73875e+11,339.86,190.036,99.69572,98.28378,173875,0.559159653975166,0.293343494380039,511.607720826223,-173726.58794,4.88853402202949e-12,55.9159653975166,-51117.103495557,51160.7720826223,0.415447537221205
"2001 Q1",307.93,190008.7,975856,973257.4,1.41819e+11,307.93,190.0087,97.5856,97.32574,141819,0.617051602636963,0.316908388270061,460.555970512779,-141701.33856,-1.98951966012828e-12,61.7051602636963,-46017.3866008508,46055.5970512779,0.0843893092585988
"2001 Q2",325.93,193219.3,1056164.8,1007101.3,1.48315e+11,325.93,193.2193,105.61648,100.71013,148315,0.592824532875157,0.32404651305495,455.051698217409,-148187.19565,1.17665877041873e-11,59.2824532875157,-45465.957613598,45505.1698217409,1.50533856963152
"2001 Q3",316.15,194691.2,994188.4,908187.1,1.41541e+11,316.15,194.6912,99.41884,90.81871,141541,0.615819073224735,0.314467309821287,447.702040170805,-141428.14133,1.19371179607697e-11,61.5819073224735,-44734.5061932627,44770.2040170805,2.72026885971849
