Date,Total government revenue,Total Government expenditure,Deficit_Surplus,Deficit_Surplus_Pct
1999-01-01,105233000000,128069000000,-22836000000,-21.700417169519067
1999-04-01,133497000000,132004000000,1493000000,1.118377191996824
1999-07-01,123400000000,128913000000,-5513000000,-4.4675850891410045
1999-10-01,171323000000,165364000000,5959000000,3.4782253404388204
2000-01-01,113813000000,131842000000,-18029000000,-15.840896909843337
2000-04-01,135165000000,137328000000,-2163000000,-1.6002663411386084
2000-07-01,126667000000,134124000000,-7457000000,-5.8870897708163925
2000-10-01,171400000000,173875000000,-2475000000,-1.4439906651108518
2001-01-01,108730000000,141819000000,-33089000000,-30.432263404764093
2001-04-01,144748000000,148315000000,-3567000000,-2.464282753475005
2001-07-01,136192000000,141541000000,-5349000000,-3.927543468045113
2001-10-01,185483000000,185103000000,380000000,0.2048705272181278
2002-01-01,113676000000,145575000000,-31899000000,-28.061332207326085
2002-04-01,147272000000,152450000000,-5178000000,-3.5159432886088324
2002-07-01,137206000000,151543000000,-14337000000,-10.4492514904596
2002-10-01,193036000000,180658000000,12378000000,6.41227543048965
2003-01-01,117184000000,150315000000,-33131000000,-28.272631075914802
2003-04-01,162462000000,158569000000,3893000000,2.3962526621609976
2003-07-01,140088000000,156603000000,-16515000000,-11.78901833133459
2003-10-01,192390000000,191784000000,606000000,0.31498518634024636
2004-01-01,119836000000,157014000000,-37178000000,-31.02406622383925
2004-04-01,161541000000,163866000000,-2325000000,-1.4392630972941853
2004-07-01,142030000000,157494000000,-15464000000,-10.88784059705696
2004-10-01,206257000000,201726000000,4531000000,2.196773927672758
2005-01-01,125739000000,163552000000,-37813000000,-30.072610725391485
2005-04-01,156859000000,167861000000,-11002000000,-7.013942457876182
2005-07-01,148396000000,162075000000,-13679000000,-9.21790344753228
2005-10-01,212931000000,211877000000,1054000000,0.4949960315783047
2006-01-01,132264000000,168062000000,-35798000000,-27.065565838020927
2006-04-01,174420000000,174676000000,-256000000,-0.14677215915606007
2006-07-01,155859000000,167714000000,-11855000000,-7.606233839560115
2006-10-01,223087000000,231418000000,-8331000000,-3.734417514243322
2007-01-01,137841000000,172107000000,-34266000000,-24.859076762356626
2007-04-01,182102000000,178887000000,3215000000,1.7654940637664607
2007-07-01,171715000000,173147000000,-1432000000,-0.8339399586524182
2007-10-01,242563000000,231584000000,10979000000,4.526246789493864
2008-01-01,146791000000,178922000000,-32131000000,-21.888944145077012
